Date,Time,HomeTeam,AwayTeam,FTR,HomePoints,AwayPoints,FTR_numerical,HT_form_points_5,AT_form_points_5,HT_h2h_points_5,AT_h2h_points_5
2023-08-11,19:00,Trabzonspor,Antalyaspor,H,3,0,1,0.0,0.0,0.0,0.0
2023-08-12,17:15,Kasimpasa,Ankaragucu,H,3,0,1,0.0,0.0,0.0,0.0
2023-08-12,17:15,Konyaspor,Istanbulspor,D,1,1,0,0.0,0.0,0.0,0.0
2023-08-12,19:45,Kayserispor,Galatasaray,D,1,1,0,0.0,0.0,0.0,0.0
2023-08-12,19:45,Pendikspor,Hatayspor,A,0,3,2,0.0,0.0,0.0,0.0
2023-08-13,17:15,Sivasspor,Samsunspor,D,1,1,0,0.0,0.0,0.0,0.0
2023-08-13,19:45,Ad. Demirspor,Rizespor,H,3,0,1,0.0,0.0,0.0,0.0
2023-08-13,19:45,Fenerbahce,Gaziantep,H,3,0,1,0.0,0.0,0.0,0.0
2023-08-14,19:00,Alanyaspor,Buyuksehyr,H,3,0,1,0.0,0.0,0.0,0.0
2023-08-14,19:00,Karagumruk,Besiktas,A,0,3,2,0.0,0.0,0.0,0.0
2023-08-18,19:00,Istanbulspor,Kayserispor,D,1,1,0,0.2,0.2,0.0,0.0
2023-08-18,19:00,Antalyaspor,Konyaspor,D,1,1,0,0.0,0.2,0.0,0.0
2023-08-19,17:15,Rizespor,Alanyaspor,D,1,1,0,0.0,0.6,0.0,0.0
2023-08-19,19:45,Galatasaray,Trabzonspor,H,3,0,1,0.2,0.6,0.0,0.0
2023-08-19,19:45,Hatayspor,Kasimpasa,D,1,1,0,0.6,0.6,0.0,0.0
2023-08-20,17:15,Buyuksehyr,Karagumruk,A,0,3,2,0.0,0.0,0.0,0.0
2023-08-20,19:45,Besiktas,Pendikspor,D,1,1,0,0.6,0.0,0.0,0.0
2023-08-20,19:45,Gaziantep,Sivasspor,A,0,3,2,0.0,0.2,0.0,0.0
2023-08-21,19:00,Ankaragucu,Ad. Demirspor,D,1,1,0,0.0,0.6,0.0,0.0
2023-08-21,19:00,Samsunspor,Fenerbahce,A,0,3,2,0.2,0.6,0.0,0.0
2023-08-25,19:00,Konyaspor,Gaziantep,H,3,0,1,0.4,0.0,0.0,0.0
2023-08-26,19:45,Sivasspor,Antalyaspor,D,1,1,0,0.8,0.2,0.0,0.0
2023-08-26,17:15,Kasimpasa,Pendikspor,D,1,1,0,0.8,0.2,0.0,0.0
2023-08-26,17:15,Trabzonspor,Rizespor,A,0,3,2,0.6,0.2,0.0,0.0
2023-08-27,17:15,Karagumruk,Ankaragucu,D,1,1,0,0.6,0.2,0.0,0.0
2023-08-27,17:15,Kayserispor,Samsunspor,H,3,0,1,0.4,0.2,0.0,0.0
2023-08-27,19:45,Alanyaspor,Hatayspor,D,1,1,0,0.8,0.8,0.0,0.0
2023-09-01,19:00,Kasimpasa,Trabzonspor,A,0,3,2,1.0,0.6,0.0,0.0
2023-09-01,19:00,Rizespor,Karagumruk,H,3,0,1,0.8,0.8,0.0,0.0
2023-09-02,19:45,Antalyaspor,Kayserispor,D,1,1,0,0.4,1.0,0.0,0.0
2023-09-02,17:15,Buyuksehyr,Konyaspor,A,0,3,2,0.0,1.0,0.0,0.0
2023-09-02,17:15,Pendikspor,Alanyaspor,D,1,1,0,0.4,1.0,0.0,0.0
2023-09-02,19:45,Gaziantep,Galatasaray,A,0,3,2,0.0,0.8,0.0,0.0
2023-09-03,19:45,Hatayspor,Ad. Demirspor,D,1,1,0,1.0,0.8,0.0,0.0
2023-09-03,17:15,Besiktas,Sivasspor,H,3,0,1,0.8,1.0,0.0,0.0
2023-09-03,19:45,Ankaragucu,Fenerbahce,A,0,3,2,0.4,1.2,0.0,0.0
2023-09-16,18:00,Galatasaray,Samsunspor,H,3,0,1,1.4,0.2,0.0,0.0
2023-09-16,15:00,Kayserispor,Gaziantep,H,3,0,1,1.2,0.0,0.0,0.0
2023-09-16,15:00,Konyaspor,Rizespor,A,0,3,2,1.6,1.4,0.0,0.0
2023-09-16,18:00,Ad. Demirspor,Pendikspor,H,3,0,1,1.0,0.6,0.0,0.0
2023-09-17,15:00,Istanbulspor,Buyuksehyr,A,0,3,2,0.4,0.0,0.0,0.0
2023-09-17,18:00,Alanyaspor,Kasimpasa,D,1,1,0,1.2,1.0,0.0,0.0
2023-09-17,15:00,Fenerbahce,Antalyaspor,H,3,0,1,1.8,0.6,0.0,0.0
2023-09-17,18:00,Trabzonspor,Besiktas,H,3,0,1,1.2,1.4,0.0,0.0
2023-09-18,18:00,Sivasspor,Ankaragucu,A,0,3,2,1.0,0.4,0.0,0.0
2023-09-18,18:00,Karagumruk,Hatayspor,D,1,1,0,0.8,1.2,0.0,0.0
2023-09-22,18:00,Gaziantep,Istanbulspor,H,3,0,1,0.0,0.4,0.0,0.0
2023-09-23,15:00,Pendikspor,Karagumruk,D,1,1,0,0.6,1.0,0.0,0.0
2023-09-23,15:00,Rizespor,Sivasspor,D,1,1,0,2.0,1.0,0.0,0.0
2023-09-23,18:00,Antalyaspor,Samsunspor,H,3,0,1,0.6,0.2,0.0,0.0
2023-09-23,18:00,Buyuksehyr,Galatasaray,A,0,3,2,0.6,2.0,0.0,0.0
2023-09-24,18:00,Kasimpasa,Ad. Demirspor,H,3,0,1,1.2,1.6,0.0,0.0
2023-09-24,15:00,Ankaragucu,Konyaspor,D,1,1,0,1.0,1.6,0.0,0.0
2023-09-24,15:00,Besiktas,Kayserispor,H,3,0,1,1.4,1.8,0.0,0.0
2023-09-24,18:00,Alanyaspor,Fenerbahce,A,0,3,2,1.4,2.4,0.0,0.0
2023-09-25,18:00,Hatayspor,Trabzonspor,H,3,0,1,1.4,1.8,0.0,0.0
2023-09-26,18:00,Istanbulspor,Galatasaray,A,0,3,2,0.4,2.6,0.0,0.0
2023-09-27,18:00,Ad. Demirspor,Besiktas,H,3,0,1,1.6,2.0,0.0,0.0
2023-09-28,18:00,Fenerbahce,Buyuksehyr,H,3,0,1,3.0,0.6,0.0,0.0
2023-09-29,18:00,Samsunspor,Gaziantep,A,0,3,2,0.2,0.6,0.0,0.0
2023-09-30,11:30,Sivasspor,Hatayspor,D,1,1,0,1.0,1.4,0.0,0.0
2023-09-30,14:00,Istanbulspor,Antalyaspor,A,0,3,2,0.4,1.2,0.0,0.0
2023-09-30,14:00,Trabzonspor,Pendikspor,H,3,0,1,1.2,0.8,0.0,0.0
2023-09-30,17:00,Galatasaray,Ankaragucu,H,3,0,1,3.0,1.2,0.0,0.0
2023-10-01,14:00,Fenerbahce,Rizespor,H,3,0,1,3.0,2.2,0.0,0.0
2023-10-01,17:00,Ad. Demirspor,Alanyaspor,H,3,0,1,1.6,0.8,0.0,0.0
2023-10-01,11:30,Karagumruk,Kasimpasa,A,0,3,2,1.2,1.2,0.0,0.0
2023-10-01,17:00,Konyaspor,Besiktas,A,0,3,2,1.6,1.4,0.0,0.0
2023-10-02,18:00,Kayserispor,Buyuksehyr,D,1,1,0,1.6,0.6,0.0,0.0
2023-10-06,18:00,Ad. Demirspor,Trabzonspor,H,3,0,1,2.0,1.8,0.0,0.0
2023-10-06,18:00,Alanyaspor,Karagumruk,H,3,0,1,0.6,0.6,0.0,0.0
2023-10-07,11:30,Pendikspor,Sivasspor,A,0,3,2,0.6,0.6,0.0,0.0
2023-10-07,14:00,Ankaragucu,Kayserispor,H,3,0,1,1.0,1.6,0.0,0.0
2023-10-07,17:00,Antalyaspor,Galatasaray,A,0,3,2,1.6,3.0,0.0,0.0
2023-10-07,17:00,Buyuksehyr,Gaziantep,H,3,0,1,0.8,1.2,0.0,0.0
2023-10-08,17:00,Hatayspor,Konyaspor,H,3,0,1,1.4,1.4,0.0,0.0
2023-10-08,17:00,Kasimpasa,Fenerbahce,A,0,3,2,1.6,3.0,0.0,0.0
2023-10-08,11:30,Rizespor,Samsunspor,H,3,0,1,2.0,0.0,0.0,0.0
2023-10-08,14:00,Besiktas,Istanbulspor,H,3,0,1,1.8,0.2,0.0,0.0
2023-10-21,11:30,Kayserispor,Rizespor,H,3,0,1,1.0,2.0,0.0,0.0
2023-10-21,14:00,Gaziantep,Antalyaspor,H,3,0,1,1.2,1.4,0.0,0.0
2023-10-21,14:00,Konyaspor,Pendikspor,A,0,3,2,0.8,0.4,0.0,0.0
2023-10-21,17:00,Galatasaray,Besiktas,H,3,0,1,3.0,1.8,0.0,0.0
2023-10-22,11:30,Sivasspor,Kasimpasa,A,0,3,2,1.0,1.4,0.0,0.0
2023-10-22,14:00,Istanbulspor,Ankaragucu,H,3,0,1,0.0,1.4,0.0,0.0
2023-10-22,17:00,Fenerbahce,Hatayspor,H,3,0,1,3.0,1.8,0.0,0.0
2023-10-22,17:00,Samsunspor,Buyuksehyr,D,1,1,0,0.0,1.4,0.0,0.0
2023-10-23,18:00,Karagumruk,Ad. Demirspor,H,3,0,1,0.4,2.4,0.0,0.0
2023-10-23,18:00,Trabzonspor,Alanyaspor,H,3,0,1,1.8,1.0,0.0,0.0
2023-10-27,18:00,Kasimpasa,Istanbulspor,H,3,0,1,2.0,0.6,0.0,0.0
2023-10-27,18:00,Hatayspor,Kayserispor,A,0,3,2,1.6,1.4,0.0,0.0
2023-10-28,17:00,Rizespor,Galatasaray,A,0,3,2,1.4,3.0,0.0,0.0
2023-10-28,17:00,Ad. Demirspor,Konyaspor,H,3,0,1,1.8,0.2,0.0,0.0
2023-10-28,14:00,Alanyaspor,Sivasspor,A,0,3,2,0.8,1.0,0.0,0.0
2023-10-29,13:00,Karagumruk,Trabzonspor,D,1,1,0,1.0,1.8,0.0,0.0
2023-10-29,16:00,Ankaragucu,Samsunspor,H,3,0,1,1.4,0.2,0.0,0.0
2023-10-29,16:00,Antalyaspor,Buyuksehyr,H,3,0,1,1.2,1.0,0.0,0.0
2023-10-29,16:00,Pendikspor,Fenerbahce,A,0,3,2,0.8,3.0,0.0,0.0
2023-10-30,17:00,Besiktas,Gaziantep,H,3,0,1,1.8,1.8,0.0,0.0
2023-11-03,17:00,Galatasaray,Kasimpasa,H,3,0,1,3.0,2.4,0.0,0.0
2023-11-04,13:00,Samsunspor,Hatayspor,H,3,0,1,0.2,1.4,0.0,0.0
2023-11-04,16:00,Fenerbahce,Trabzonspor,A,0,3,2,3.0,1.4,0.0,0.0
2023-11-04,10:30,Istanbulspor,Pendikspor,A,0,3,2,0.6,0.8,0.0,0.0
2023-11-05,10:30,Sivasspor,Ad. Demirspor,D,1,1,0,1.6,2.4,0.0,0.0
2023-11-05,13:00,Buyuksehyr,Ankaragucu,D,1,1,0,1.0,1.4,0.0,0.0
2023-11-05,13:00,Konyaspor,Karagumruk,D,1,1,0,0.2,1.0,0.0,0.0
2023-11-05,16:00,Antalyaspor,Besiktas,H,3,0,1,1.8,1.8,0.0,0.0
2023-11-06,17:00,Gaziantep,Rizespor,H,3,0,1,1.8,0.8,0.0,0.0
2023-11-06,17:00,Kayserispor,Alanyaspor,H,3,0,1,1.4,0.6,0.0,0.0
2023-11-08,17:00,Samsunspor,Istanbulspor,H,3,0,1,0.8,0.6,0.0,0.0
2023-11-10,17:00,Trabzonspor,Konyaspor,H,3,0,1,2.0,0.2,0.0,0.0
2023-11-10,17:00,Ankaragucu,Antalyaspor,A,0,3,2,1.4,1.8,0.0,0.0
2023-11-11,13:00,Karagumruk,Sivasspor,H,3,0,1,1.0,1.6,0.0,0.0
2023-11-11,16:00,Hatayspor,Galatasaray,H,3,0,1,0.8,3.0,0.0,0.0
2023-11-11,10:30,Kasimpasa,Kayserispor,A,0,3,2,1.8,2.0,0.0,0.0
2023-11-11,13:00,Alanyaspor,Gaziantep,A,0,3,2,0.6,1.8,0.0,0.0
2023-11-12,10:30,Pendikspor,Samsunspor,H,3,0,1,1.2,1.4,0.0,0.0
2023-11-12,13:00,Besiktas,Buyuksehyr,H,3,0,1,1.8,1.2,0.0,0.0
2023-11-12,13:00,Rizespor,Istanbulspor,H,3,0,1,0.6,0.6,0.0,0.0
2023-11-12,16:00,Ad. Demirspor,Fenerbahce,D,1,1,0,2.0,2.4,0.0,0.0
2023-11-25,10:30,Istanbulspor,Hatayspor,H,3,0,1,0.6,1.2,0.0,0.0
2023-11-25,13:00,Gaziantep,Ankaragucu,A,0,3,2,1.8,1.4,0.0,0.0
